ZIP_CODE,DELIVERY_SERVICE_CLASS,DELIVERY_SERVICE_NAME,ACCOUNT_IDENTIFIER,INTERVAL_READING_DATE,INTERVAL_LENGTH,TOTAL_REGISTERED_ENERGY,INTERVAL_HR0030_ENERGY_QTY,INTERVAL_HR0100_ENERGY_QTY,INTERVAL_HR0130_ENERGY_QTY,INTERVAL_HR0200_ENERGY_QTY,INTERVAL_HR0230_ENERGY_QTY,INTERVAL_HR0300_ENERGY_QTY,INTERVAL_HR0330_ENERGY_QTY,INTERVAL_HR0400_ENERGY_QTY,INTERVAL_HR0430_ENERGY_QTY,INTERVAL_HR0500_ENERGY_QTY,INTERVAL_HR0530_ENERGY_QTY,INTERVAL_HR0600_ENERGY_QTY,INTERVAL_HR0630_ENERGY_QTY,INTERVAL_HR0700_ENERGY_QTY,INTERVAL_HR0730_ENERGY_QTY,INTERVAL_HR0800_ENERGY_QTY,INTERVAL_HR0830_ENERGY_QTY,INTERVAL_HR0900_ENERGY_QTY,INTERVAL_HR0930_ENERGY_QTY,INTERVAL_HR1000_ENERGY_QTY,INTERVAL_HR1030_ENERGY_QTY,INTERVAL_HR1100_ENERGY_QTY,INTERVAL_HR1130_ENERGY_QTY,INTERVAL_HR1200_ENERGY_QTY,INTERVAL_HR1230_ENERGY_QTY,INTERVAL_HR1300_ENERGY_QTY,INTERVAL_HR1330_ENERGY_QTY,INTERVAL_HR1400_ENERGY_QTY,INTERVAL_HR1430_ENERGY_QTY,INTERVAL_HR1500_ENERGY_QTY,INTERVAL_HR1530_ENERGY_QTY,INTERVAL_HR1600_ENERGY_QTY,INTERVAL_HR1630_ENERGY_QTY,INTERVAL_HR1700_ENERGY_QTY,INTERVAL_HR1730_ENERGY_QTY,INTERVAL_HR1800_ENERGY_QTY,INTERVAL_HR1830_ENERGY_QTY,INTERVAL_HR1900_ENERGY_QTY,INTERVAL_HR1930_ENERGY_QTY,INTERVAL_HR2000_ENERGY_QTY,INTERVAL_HR2030_ENERGY_QTY,INTERVAL_HR2100_ENERGY_QTY,INTERVAL_HR2130_ENERGY_QTY,INTERVAL_HR2200_ENERGY_QTY,INTERVAL_HR2230_ENERGY_QTY,INTERVAL_HR2300_ENERGY_QTY,INTERVAL_HR2330_ENERGY_QTY,INTERVAL_HR2400_ENERGY_QTY
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/01/2016,1800,10.3083,0.105,0.0825,0.1725,0.1325,0.0775,0.1075,0.07,0.1125,0.0625,0.1075,0.0775,0.0925,0.09,0.08,0.15,0.1375,0.385,0.245,0.41,0.24,0.2475,0.26,0.2725,0.2275,0.3575,0.3525,0.205,0.2325,0.1925,0.2375,0.3475,0.615,0.585,0.3975,0.235,0.225,0.2575,0.235,0.2075,0.195,0.275,0.3425,0.19,0.215,0.16,0.1275,0.07,0.105
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/02/2016,1800,9.9341,0.0775,0.0975,0.08,0.105,0.0825,0.0925,0.0825,0.0925,0.08,0.0925,0.08,0.09,0.105,0.09,0.095,0.215,0.445,0.2525,0.28,0.29,0.2225,0.185,0.2025,0.1975,0.185,0.23,0.2075,0.1775,0.21,0.21,0.435,0.295,0.6775,0.525,0.3225,0.18,0.315,0.3475,0.3375,0.3025,0.275,0.2375,0.1825,0.22,0.1625,0.07,0.0975,0.1
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/03/2016,1800,10.0874,0.07,0.0925,0.1,0.07,0.0925,0.1,0.07,0.0925,0.1,0.07,0.09,0.0975,0.0675,0.0925,0.1275,0.1875,0.37,0.2625,0.29,0.305,0.26,0.245,0.38,0.3775,0.2025,0.18,0.1875,0.2325,0.21,0.2025,0.315,0.24,0.2775,0.6775,0.4725,0.415,0.345,0.3025,0.2,0.205,0.175,0.345,0.2475,0.19,0.19,0.0825,0.0825,0.1
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/04/2016,1800,12.2747,0.0725,0.09,0.0975,0.0675,0.0925,0.0975,0.0625,0.0975,0.095,0.065,0.095,0.0925,0.065,0.095,0.1275,0.2075,0.415,0.3,0.25,0.41,0.515,0.625,0.54,0.3325,0.3175,0.32,0.37,0.365,0.28,0.2475,0.405,0.445,0.7775,0.6025,0.45,0.3125,0.24,0.1925,0.42,0.35,0.2125,0.2425,0.175,0.2175,0.1525,0.1025,0.08,0.09
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/05/2016,1800,9.3819,0.09,0.08,0.1025,0.0675,0.1075,0.065,0.1075,0.0675,0.1025,0.0775,0.0925,0.085,0.085,0.1675,0.2825,0.295,0.18,0.205,0.1925,0.2375,0.3625,0.355,0.3475,0.3325,0.31,0.37,0.3025,0.275,0.11,0.1325,0.2125,0.18,0.2425,0.2175,0.215,0.1725,0.3175,0.2375,0.245,0.3675,0.3175,0.28,0.18,0.22,0.105,0.11,0.065,0.11
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/06/2016,1800,7.8943,0.0625,0.11,0.0725,0.1,0.08,0.0925,0.085,0.11,0.0975,0.08,0.0975,0.0725,0.105,0.0675,0.1075,0.2325,0.315,0.1725,0.2025,0.2125,0.1875,0.2025,0.19,0.245,0.1375,0.105,0.09,0.0825,0.1075,0.0625,0.1075,0.1275,0.2375,0.185,0.4275,0.455,0.4675,0.24,0.2175,0.29,0.19,0.22,0.175,0.225,0.1675,0.105,0.0825,0.0875
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/07/2016,1800,10.2441,0.1,0.0725,0.1075,0.0625,0.1075,0.075,0.0975,0.085,0.085,0.095,0.075,0.105,0.065,0.1075,0.0625,0.2425,0.3675,0.245,0.3475,0.4025,0.2975,0.25,0.22,0.1825,0.215,0.2325,0.2025,0.1825,0.2075,0.2575,0.3125,0.3625,0.7425,0.565,0.36,0.3375,0.3325,0.3325,0.1825,0.295,0.2275,0.18,0.2075,0.2075,0.175,0.105,0.0925,0.0725
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/08/2016,1800,9.8064,0.1025,0.0875,0.08,0.1025,0.0775,0.0875,0.105,0.0625,0.1025,0.09,0.0725,0.1025,0.0775,0.1575,0.215,0.3725,0.28,0.3275,0.35,0.335,0.265,0.24,0.205,0.1775,0.27,0.2325,0.1775,0.22,0.2175,0.215,0.265,0.445,0.6725,0.46,0.2125,0.185,0.2,0.225,0.23,0.2,0.215,0.2225,0.2075,0.2025,0.195,0.0975,0.075,0.09
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/09/2016,1800,9.5786,0.0975,0.09,0.075,0.1,0.1,0.0775,0.0875,0.1,0.09,0.0725,0.0975,0.0975,0.0925,0.08,0.13,0.225,0.4025,0.265,0.3,0.29,0.325,0.2775,0.235,0.2025,0.185,0.1975,0.23,0.1975,0.2225,0.2025,0.31,0.5,0.6375,0.475,0.1825,0.22,0.1825,0.21,0.2275,0.19,0.2175,0.18,0.21,0.2275,0.1825,0.1075,0.0625,0.11
60004-1528,C24,RESIDENTIAL MULTI,1.00E+17,03/10/2016,1800,7.5728,0.0775,0.095,0.0925,0.08,0.1075,0.0625,0.11,0.07,0.1025,0.08,0.09,0.0925,0.1725,0.13,0.085,0.1975,0.385,0.2425,0.3,0.29,0.3175,0.2525,0.19,0.195,0.21,0.1675,0.275,0.185,0.1925,0.245,0.2175,0.29,0.2,0.1175,0.0725,0.115,0.0925,0.0925,0.0925,0.08,0.1025,0.1575,0.2225,0.175,0.2125,0.065,0.1125,0.0625
